switch,MacAddress,IpAddress,Lease(sec),Type,VLAN,Interface
sw1,00:09:BB:3D:D6:58,10.1.10.2,86250,dhcp-snooping,10,FastEthernet0/1
sw1,00:04:A3:3E:5B:69,10.1.5.2,63951,dhcp-snooping,5,FastEthernet0/10
sw1,00:05:B3:7E:9B:60,10.1.5.4,63253,dhcp-snooping,5,FastEthernet0/9
sw1,00:07:BC:3F:A6:50,10.1.10.6,76260,dhcp-snooping,10,FastEthernet0/3
sw1,00:09:BC:3F:A6:50,192.168.100.100,76260,dhcp-snooping,1,FastEthernet0/7
sw2,00:A9:BB:3D:D6:58,10.1.10.20,86250,dhcp-snooping,10,FastEthernet0/7
sw2,00:B4:A3:3E:5B:69,10.1.5.20,63951,dhcp-snooping,5,FastEthernet0/5
sw2,00:C5:B3:7E:9B:60,10.1.5.40,63253,dhcp-snooping,5,FastEthernet0/9
sw2,00:A9:BC:3F:A6:50,10.1.10.60,76260,dhcp-snooping,20,FastEthernet0/2
sw3,00:E9:BC:3F:A6:50,100.1.1.6,76260,dhcp-snooping,3,FastEthernet0/20
sw3,00:E9:22:11:A6:50,100.1.1.7,76260,dhcp-snooping,3,FastEthernet0/21
