lvovivan@lvov:~/work/python_for_net/python-netops/25$ /bin/python3 /home/lvovivan/work/python_for_net/python-netops/25/25_1_add_data.py
Добавляю данные в таблицу switches...
При добавлении данных: ('sw1', 'London, 21 New Globe Walk')
При добавлении данных: ('sw2', 'London, 21 New Globe Walk')
При добавлении данных: ('sw3', 'London, 21 New Globe Walk')
Добавляю данные в таблицу dhcp...
При добавлении данных: ('00:09:BB:3D:D6:58', '10.1.10.2', '86250', 'FastEthernet0/1', 'sw1')
При добавлении данных: ('00:04:A3:3E:5B:69', '10.1.5.2', '63951', 'FastEthernet0/10', 'sw1')
При добавлении данных: ('00:05:B3:7E:9B:60', '10.1.5.4', '63253', 'FastEthernet0/9', 'sw1')
При добавлении данных: ('00:07:BC:3F:A6:50', '10.1.10.6', '76260', 'FastEthernet0/3', 'sw1')
При добавлении данных: ('00:09:BC:3F:A6:50', '192.168.100.100', '76260', 'FastEthernet0/7', 'sw1')
При добавлении данных: ('00:A9:BB:3D:D6:58', '10.1.10.20', '86250', 'FastEthernet0/7', 'sw2')
При добавлении данных: ('00:B4:A3:3E:5B:69', '10.1.5.20', '63951', 'FastEthernet0/5', 'sw2')
При добавлении данных: ('00:C5:B3:7E:9B:60', '10.1.5.40', '63253', 'FastEthernet0/9', 'sw2')
При добавлении данных: ('00:A9:BC:3F:A6:50', '10.1.10.60', '76260', 'FastEthernet0/2', 'sw2')
При добавлении данных: ('00:E9:BC:3F:A6:50', '100.1.1.6', '76260', 'FastEthernet0/20', 'sw3')
При добавлении данных: ('00:E9:22:11:A6:50', '100.1.1.7', '76260', 'FastEthernet0/21', 'sw3')
